clean_name,horse_gear,gear_win_rate
ALL WIN BOY,H1,0.0
ALL WIN BOY,H,0.0
ALL YOU KNOW,H1/P1,0.0
ALL YOU KNOW,H/P,1.0
ALL YOU KNOW,H/P/XB1,0.0
ALL YOU KNOW,TT1/H/P/XB,0.0
ALL YOU KNOW,H/P/XB,0.0
ALL YOU NEED,--,0.0
ALL YOU WISH,SR1,0.0
ALL YOU WISH,SR,0.0
ALL YOU WISH,TT1/SR-/B1,0.0
ALL YOU WISH,TT,0.0
ALL YOU WISH,TT-/H1/P1,0.0
ALL YOU WISH,H/P,0.0
ALL YOU WISH,P-/H,0.0
ALL YOU WISH,H,0.0
ALL YOU WISH,H/CP1,0.0
ALL YOU WISH,CP/H,0.0
ALL YOU WISH,CP-/H,0.0
ALL YOU WISH,XB/P2,0.0
ALL YOU WISH,H-/XB-,0.0
ALLCASH,--,0.0
ALLEY-OOP,--,0.25
ALMIGHTY SUN,--,0.0625
ALMIGHTY WINDPOWER,--,0.0
ALP'S GLORY,--,0.05555555555555555
ALPHA GLORY,--,0.16666666666666666
ALPHA GRAND,--,0.4
ALPHA HEDGE,--,0.0
ALPINEFIELD,--,0.1111111111111111
ALWAYS SOMETHING,--,0.1
ALWAYS WELL,--,0.0
ALWAYS WIN,--,0.09302325581395349
ALWAYS WONDERFUL,--,0.1111111111111111
ALWAYS WONGCHOY,--,0.08
AMAZING AGILITY,--,0.07407407407407407
AMAZING ALWAYS,--,0.17857142857142858
AMAZING AWARD,B1,0.0
AMAZING AWARD,B-,0.0
AMAZING AWARD,--,0.0
AMAZING AWARD,B2,0.0
AMAZING AWARD,B,0.13043478260869565
AMAZING BREEDERS,--,1.0
AMAZING CHOICE,--,0.0
AMAZING CHOICE,SR1,0.0
AMAZING FEELING,TT1,0.0
AMAZING FORTUNE,--,0.058823529411764705
AMAZING GIFT,XB1,0.0
AMAZING GIFT,XB,0.0
AMAZING GIFT,TT1/XB-,0.0
AMAZING GIFT,TT,0.16666666666666666
AMAZING GOLD,--,0.045454545454545456
AMAZING JOURNEY,--,0.0
AMAZING KIDS,TT1/H1/SR1,0.0
AMAZING KIDS,TT/H-/SR-/V1,0.0
AMAZING KIDS,TT/V-/B1,0.0
AMAZING KIDS,TT/B-,0.0
AMAZING KIDS,TT/B2,0.0
AMAZING KIDS,TT/B-/V2,0.0
AMAZING KIDS,TT-/V-,0.0
AMAZING KIDS,TT2/V2,0.0
AMAZING KIDS,TT/V,0.14285714285714285
AMAZING KIDS,TT/B,0.0
AMAZING KIDS,TT-/B-,0.0
AMAZING KIDS,--,0.0
AMAZING MOMENT,--,0.0
AMAZING MOMENT,H1,0.0
AMAZING MOMENT,TT1/H,0.0
AMAZING MOMENT,TT/H,0.0
AMAZING MOMENT,TT/H-,0.0
AMAZING MOMENT,TT/B1,0.0
AMAZING MOMENT,TT/B2,0.0
AMAZING MOMENT,TT/B,0.2
AMAZING MOMENT,TT/B-/CP1,0.0
AMAZING MOMENT,TT/CP-/B2,0.0
AMAZING MOMENT,TT/B-,0.0
AMAZING MOMENT,TT,0.09090909090909091
AMAZING MOMENT,TT/CP2,0.0
AMAZING MOMENT,TT/CP,0.0
AMAZING NIGHTSTAR,--,0.0
AMAZING RACE,--,0.05405405405405406
AMAZING SATCHMO,--,0.0
AMAZING SKY,TT1,0.0
AMAZING SKY,TT2,0.0
AMAZING SKY,TT,0.0
AMAZING SKY,TT-,0.0
AMAZING SKY,B1,0.0
AMAZING SKY,B,0.1111111111111111
AMAZING SKY,B2,0.0
AMAZING SKY,B-,1.0
AMAZING SKY,--,0.07142857142857142
AMAZING STAR,--,0.0
AMAZING SUPERNOVA,--,0.1111111111111111
AMAZING TREASURE,--,0.21052631578947367
AMAZING VENTURE,--,0.0
AMAZING VENTURE,B1,0.0
AMAZING VENTURE,B,0.18181818181818182
AMAZING VENTURE,TT1/B,0.0
AMAZING VENTURE,TT/B,0.06896551724137931
AMAZING WONDER,--,0.0
AMAZING,--,0.12195121951219512
AMAZINGLY,--,0.0
AMAZINGLY,TT/CP-,0.0
AMAZINGLY,TT,0.0
AMAZINGLY,TT/B1,0.0
AMAZINGLY,TT/B,0.0
AMBASSADORSHIP,B1,0.0
AMBASSADORSHIP,B-,0.0
AMBASSADORSHIP,--,0.0
AMBER DRAGON,--,0.0
AMBER SKY,--,0.2777777777777778
AMBITIOUS CHAMPION,--,0.1111111111111111
AMBITIOUS DRAGON,--,0.0
AMBITIOUS GLORY,--,0.07142857142857142
AMBITIOUS HEART,--,0.09090909090909091
AMBITIOUS KING,--,0.0
AMBITIOUS OWNER,--,0.0
AMBITIOUS PINS,--,0.0
AMBITIOUS PINS,TT1,0.0
AMBITIOUS PINS,TT,0.0
AMBITIOUS SPEEDY,--,0.0
AMBITIOUS TREASURE,--,0.0
AMEDEO,--,0.0
AMEDEO,TT1,0.0
AMEDEO,TT,0.0
AMEDEO,B,0.0
AMEDEO,B-,0.0
AMEDEO,B2,0.0
AMERICAN FAME,B1,0.0
AMERICAN FAME,B,0.0
AMIGO,B1,0.0
AMIGO,B,0.0
AMITYSHIP,--,0.058823529411764705
AMRITSARIA,--,0.2222222222222222
AMUSING CITY,--,0.0
ANCIENT KINGDOM,--,0.08333333333333333
ANDNOWURMINE,--,0.16666666666666666
ANDOYAS,--,0.047619047619047616
ANIMATION MASTER,--,0.13333333333333333
ANTICIPATION,--,0.10869565217391304
ANTIPASTO,--,0.12
AOMEN,--,0.058823529411764705
APACHE SPIRIT,TT1,0.0
APACHE SPIRIT,TT/B1,0.0
APACHE SPIRIT,TT/B-/V1,0.0
APACHE SPIRIT,TT/V,0.0
APACHE SPIRIT,TT-/V-/B2,0.0
APACHE SPIRIT,B,0.0
APACHE SPIRIT,TT2/B/XB1,0.0
APACHE SPIRIT,TT/B/XB,0.0
APACHE SPIRIT,TT/B-/XB-,0.0
APACHE SPIRIT,TT,0.0
APACHE SPIRIT,TT/B2,0.0
APACHE SPIRIT,TT/B,0.07692307692307693
APAPANE,--,0.22727272727272727
APOLLO CAVALIER,TT1,0.0
APOLLO CAVALIER,TT,0.16129032258064516
APOLLO'S CHOICE,--,0.0
APPLAUSE,--,0.0
APPRECIATION,--,0.08108108108108109
APPROVE,--,0.0
ARCADA,--,0.3
ARCHER'S BOW,--,0.0
ARCHIMEDES,--,0.041666666666666664
ARCHIPPUS,B1,0.0
ARCHIPPUS,B/SR1,0.0
ARCHIPPUS,B/SR,0.0
ARCHIPPUS,B-/SR-,0.0
ARCHIPPUS,--,0.0
ARCHIPPUS,CP1/XB1,0.0
ARCHIPPUS,CP-/XB/H1/P1,0.0
ARCHIPPUS,H/P/XB,0.13636363636363635
ARCHIPPUS,P-/H/XB/B2,0.0
ARCHIPPUS,B-/H/XB/PC1,0.0
ARCHIPPUS,H/PC/XB,0.125
AREO,H1,0.0
AREO,H,0.0
AREO,H/XB1,0.0
AREO,H/XB,0.0
ARGENTUM,--,0.0
ARGENTUM,B1,0.0
ARGENTUM,B,0.0
ARGENTUM,TT1/B,0.0
ARGENTUM,TT/B,0.15384615384615385
ARGENTUM,TT/B-/CP1,0.0
ARGENTUM,TT/CP,0.0
ARION OF CHIU TON,--,0.0
ARION OF CHIU TON,TT1,0.0
ARION OF CHIU TON,TT,0.0
ARION OF CHIU TON,TT/B1/XB1,0.0
ARION OF CHIU TON,TT/B/XB,0.0
ARION OF CHIU TON,TT/B-/XB,0.0
ARION OF CHIU TON,TT/XB,0.058823529411764705
ARIZONA BLIZZARD,--,0.2
ARM RUNDA,--,0.04878048780487805
ARPINATI,--,0.0
ARRIVED AHEAD,--,0.0
ART OF RAW,TT1/B1,0.0
ART OF RAW,TT/B,0.14285714285714285
ART OF SUCCESS,--,0.034482758620689655
ASCENSION,TT1,0.0
ASCENSION,TT,0.06666666666666667
ASCENSION,TT/SR1,0.0
ASCENSION,TT/SR,0.0
ASCENSION,TT/SR-/B1,0.0
ASCENSION,TT/B,0.0
ASCENSION,TT/B-,0.0
ASCENSION,--,0.0
ASHKIYR,--,0.0
ASIA RISING,--,0.0
ASIAN CITRUS,--,0.0
ASMODAI,--,0.25
ASSOCIATION FANS,--,0.058823529411764705
ASSOCIATION FANS,B1,0.0
ASSOCIATION FANS,B,0.1
ASSURE,--,0.32
ASSURE,V1,0.0
ASTROKID,--,0.0
ASUKA KURICHAN,--,0.0
AT MOMENT IN TIME,--,0.0
ATACX,--,0.0
ATHENA BABY,--,0.0
ATHENIUM,--,0.0
ATOMIC BLAST,--,0.2
ATTENTION,--,0.0
AUDACITY,--,0.25
AUSPICIOUS START,--,0.0
AUTOPAY,--,0.2
AUTUMN GOLD,--,0.041666666666666664
AVELLINO,--,0.18518518518518517
AWESOME SAUCE,--,0.0
AXIOM,--,0.07142857142857142
AZTEC EMPIRE,--,0.0
B CHOICE,--,0.0
BAAB AL NASR,--,0.11538461538461539
BABA MAMA,--,0.1
BACHELOR KEEN,--,0.0
BACHELOR KEEN,TT,0.0
BACK IN BLACK,--,0.0
BACKBENCH BLUES,--,0.0
BACKBENCH BLUES,B,0.0
BACKSTREET FIGHTER,--,0.0
BAD BOY,--,0.0
BAITIWU,--,0.0
BALAY BALAY,--,0.08333333333333333
BALTIC WARRIOR,--,0.15789473684210525
BALTIC WHISPER,TT1,0.0
BAMBOO DANCE,--,0.0
BANGALORE,TT1,0.0
BANGALORE,TT,0.25
BANGALORE,--,0.0
BANGALORE,TT/CP/XB,0.0
BANK ON RED,--,0.0
BANK ON RED,B1,0.0
BANKSTERS BONUS,H1,0.0
BANKSTERS BONUS,H,0.0
BANKSTERS BONUS,TT1/H,0.0
BANKSTERS BONUS,TT/H,0.16666666666666666
BANKSTERS BONUS,TT/H/B1,0.0
BANKSTERS BONUS,TT/B/H,0.0
BANKSTERS BONUS,TT/H-/B,0.0
BANKSTERS BONUS,TT/B,0.0
BARCELONA TOO,H1,0.0
BARCELONA TOO,H-,0.0
BARCELONA TOO,H2,0.0
BARCELONA TOO,H,0.16666666666666666
BARCELONA TOO,H/B1,0.0
BARCELONA TOO,B/H,0.14285714285714285
BARCELONA TOO,H-/B,0.0
BARCELONA TOO,B,0.5
BASIC TRILOGY,TT1,0.0
BASIC TRILOGY,TT,0.0
BATED BREATH,TT1,0.0
BATED BREATH,TT,0.0
BAYONET,B1/H1,0.0
BAYRIR,H1,0.0
BAYRIR,H,0.0
BAYRIR,H-/B1,0.0
BE THERE AHEAD,--,0.3333333333333333
BE-FABULOUS,--,0.0
BE-FABULOUS,TT1,0.0
BE-FABULOUS,TT,0.5
BE-FABULOUS,TT/H1,0.0
BE-FABULOUS,TT/H,0.0
BEAR CHUM,TT1,0.0
BEAR CHUM,TT,0.0
BEAR CHUM,TT/B1,0.0
BEAR ELITE,--,0.0
BEAR ELITE,TT1,0.0
BEAR ELITE,TT,0.0
BEAR ELITE,TT/B1,0.0
BEAR ELITE,TT/B,0.0
BEAR EXPRESS,--,0.0
BEAR EXPRESS,H1,0.0
BEAR EXPRESS,TT1/H,0.0
BEAR EXPRESS,TT/H,0.8
BEAR HERO,--,0.0
BEAR HERO,TT/B,0.0
BEAR RAPPER,B1/H1,0.0
BEAR RAPPER,B/H,0.0
BEAR RAPPER,B-/H-/PC1,0.0
BEAR RAPPER,B,0.2777777777777778
BEAR RAPPER,B-/PC2,0.0
BEAR RAPPER,PC-/B2,0.0
BEAR RAPPER,TT1/B-,0.0
BEAR RAPPER,TT/B2,0.0
BEAR RAPPER,TT/B,0.0
BEAR SUPREME,--,0.05263157894736842
BEAR-POP,TT1,0.0
BEAR-POP,TT,0.0
BEAT THE CLOCK,--,0.0
BEAT THE CLOCK,B,0.0
BEAUT BEAUT,--,0.0
BEAUTIFUL CHOICE,--,0.0
BEAUTIFUL DREAMER,--,0.03333333333333333
BEAUTIFUL SCENERY,--,0.07547169811320754
BEAUTY AHEAD,--,0.23529411764705882
BEAUTY CONNECTION,--,0.08
BEAUTY DAY,--,0.05
BEAUTY ENERGY,--,0.03333333333333333
BEAUTY FLAME,--,0.045454545454545456
BEAUTY FLARE,--,0.6
BEAUTY FLASH,--,0.0
BEAUTY GENERATION,--,0.0
BEAUTY GLOW,--,0.0
BEAUTY JOURNEY,--,0.09375
BEAUTY KING,--,0.14285714285714285
BEAUTY KINGDOM,--,0.034482758620689655
BEAUTY LEAD,--,0.0
BEAUTY LEAD,TT1/B1,0.0
BEAUTY LEAD,TT/B,0.0
BEAUTY LOVE,--,0.0
BEAUTY MASTER,--,0.09090909090909091
BEAUTY MILES,--,0.0
BEAUTY MISSION,--,0.06666666666666667
BEAUTY ONLY,--,0.0
BEAUTY PRINCE,--,0.0
BEAUTY SPARKLE,--,0.0
BEAUTY SUCCESS,--,0.08333333333333333
BEAUTY TOUCH,--,0.0
BEAUTY TRUST,--,0.0
BEAUTY WAY,--,0.05128205128205128
BECAUSE OF YOU,--,0.02857142857142857
BEEKELY,--,0.0
BELIEVE IN CHANCE,--,0.0
BELOVED,--,0.08823529411764706
BENEFACTOR,--,0.2857142857142857
BENZINI,--,0.047619047619047616
BERIO,--,0.16666666666666666
BERLINI,--,0.16666666666666666
BERLINSKI,--,0.0
BERNARD'S CHOICE,--,0.08695652173913043
BESPOKE COLLARS,--,0.09090909090909091
BESPOKE MASTER,--,0.0
BEST CITY,--,0.02857142857142857
BEST EFFORT,--,1.0
BEST ELEVEN,TT1,0.0
BEST ELEVEN,TT,0.09090909090909091
BEST FIGHTER,TT1/H1,0.0
BEST FIGHTER,TT/H,0.3
BEST FIT,--,0.0
BEST FIT,H1,0.0
BEST FIT,H,0.14285714285714285
BEST FRIEND,--,0.125
BEST GIFT,--,0.0
BEST HOPE,--,0.09090909090909091
BEST JADE TRIUMPH,TT1,0.0
BEST JADE TRIUMPH,TT,0.0
BEST JADE TRIUMPH,TT/H1,0.0
BEST NOODLE,--,0.2
BEST REWARD,TT1/B1,0.0
BEST REWARD,TT/B,0.0
BEST REWARD,TT/B-,0.0
BEST REWARD,TT,0.0
BEST REWARD,TT/B2,0.0
BEST REWARD,--,0.0
BEST RUNNER,--,0.027777777777777776
BEST SHOW,--,0.02127659574468085
BEST STEP,H1,0.0
BEST SUPREME,--,0.07317073170731707
BEST TANGO,--,0.03333333333333333
BEST WIN,--,0.09302325581395349
BET ON ME,--,0.0
BETA HEDGE,--,0.0
BETTER ANNOUNCE,--,0.13333333333333333
BETTER CHOICE,--,0.10344827586206896
BEYOND FANTASY,--,0.02857142857142857
BIG ARTHUR,TT1/H1,0.0
BIG ARTHUR,TT/H,0.0
BIG BANG BONG,--,0.0
BIG BANG BONG,B1,0.0
BIG BANG BONG,B-,0.0
BIG BANG BONG,B2,0.0
BIG BANG BONG,B,0.09090909090909091
BIG BULLY,--,0.0
BIG FLASH,--,0.0
BIG FORTUNE,--,0.0
BIG FOUR,TT1,0.0
BIG FOUR,TT/B1,0.0
BIG FOUR,TT/B,0.0
BIG FOUR,TT/B-,0.0
BIG FOUR,TT,0.13513513513513514
BIG ORANGE,H1,0.0
BIG ORANGE,H/B1,0.0
BIG ORANGE,B-/H/V1,0.0
BIG ORANGE,V-/H/B2,0.0
BIG ORANGE,B/H,0.2857142857142857
BIG ORANGE,B-/H,0.0
BIG ORANGE,H,0.0
BIG ORANGE,H-/B2,0.0
BIG ORANGE,B-,0.0
