clean_name,last_win_rating,ST_win_rate,HV_win_rate,ST_vs_HV_pref,AWT_win_rate,Turf_win_rate,AWT_vs_Turf_pref,last_form_going,recent_avg_pos,recent_win_rate,last_run_date,last_race_class_int,last_horse_rating,last_gear,distance_win_rate,prev_run_vet_finding,horse_code,avg_first_pos,gear_win_rate,has_overseas_form,winning_gears,gallops_30d,trots_30d,swims_30d,last_workout_date,last_workout_type,last_workout_detail,is_in_conghua,latest_body_weight
ARMOUR WAR EAGLE,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,7.0,0.0,2026-07-15,4.0,60.0,CP/TT,0.0,1.0,J039,8.0,0.0,1.0,[],5.0,24.0,27.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
AURIO,69.0,0.1666666666666666,0.1666666666666666,Neutral,0.0,0.1666666666666666,TURF,GOOD TO FIRM,4.25,0.0,2026-07-08,4.0,78.0,SR/TT,0.2,0.0,K056,8.727272727272727,0.1666666666666666,1.0,['SR/TT'],,,,,,,,
AURORA PATCH,71.0,0.2727272727272727,0.0,Sha Tin,0.1428571428571428,0.4,TURF,GOOD,4.25,0.0,2026-07-12,4.0,79.0,B/TT,0.25,0.0,K097,3.6666666666666665,0.0,1.0,['V/TT'],6.0,30.0,20.0,25/09/2026,Trotting,SmT 1 Round - Fast (A.T.),0.0,
AUTOMATED,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO FIRM,6.25,0.0,2026-07-12,4.0,48.0,H-/TT,0.0,0.0,K177,8.7,0.0,1.0,[],4.0,25.0,13.0,12/09/2026,Trotting,SmT 1 Round - Fast (A.T.),0.0,
AUTUMN VIBES,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,6.5,0.0,2026-09-09,4.0,38.0,,0.0,0.0,K150,6.25,0.0,1.0,[],,,,,,,,
AWESOME FLUKE,84.0,0.0,0.25,Happy Valley,0.0,0.1666666666666666,TURF,GOOD TO FIRM,8.25,0.0,2026-07-08,4.0,88.0,P/TT,0.125,0.0,J050,4.0,0.1818181818181818,1.0,['P/TT'],9.0,30.0,29.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
BEAUTY CRESCENT,,,,,,,,,,,,,,,,0.0,H334,,,1.0,,0.0,0.0,0.0,,,,0.0,
BEAUTY GEMINI,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,11.0,0.0,2026-09-06,4.0,40.0,TT,0.0,1.0,L129,4.833333333333333,0.0,1.0,[],4.0,29.0,29.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
BEAUTY MISSILE,39.0,0.1,0.5,Happy Valley,0.0,0.1818181818181818,TURF,GOOD TO FIRM,3.75,0.5,2026-07-12,4.0,39.0,V,0.6666666666666666,0.0,H123,8.583333333333334,0.5,1.0,['V'],7.0,29.0,6.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
BEAUTY SHOW,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,3.75,0.0,2026-07-08,4.0,53.0,CP,0.0,0.0,L260,1.2,0.0,1.0,[],,,,,,,,
