race_id,horse_no,horse_id,result,won,lengths_behind,horse_age,horse_country,horse_type,horse_rating,horse_gear,declared_weight,actual_weight,draw,position_sec1,position_sec2,position_sec3,position_sec4,position_sec5,position_sec6,behind_sec1,behind_sec2,behind_sec3,behind_sec4,behind_sec5,behind_sec6,time1,time2,time3,time4,time5,time6,finish_time,win_odds,place_odds,trainer_id,jockey_id
12,11,3581,10,0.0,4.75,3,AUS,Gelding,60,--,1118.0,120,6,6,5,10,,,,3.5,3.0,4.75,,,,24.48,23.03,23.64,,,,71.15,16.0,4.5,60,162
12,12,1193,12,0.0,5.5,3,IRE,Gelding,60,--,1167.0,112,12,12,12,12,,,,10.25,9.5,5.5,,,,25.56,22.99,22.74,,,,71.29,99.0,28.0,4,38
13,1,4115,1,1.0,0.0,3,AUS,Gelding,60,--,1063.0,133,5,4,3,1,,,,1.0,0.75,0.5,,,,12.96,21.62,22.98,,,,57.56,7.0,1.7,47,69
13,2,3889,4,0.0,0.5,3,SAF,Gelding,60,--,1127.0,122,6,1,1,4,,,,0.25,0.15,0.5,,,,12.8,21.66,23.2,,,,57.66,21.0,5.6,128,149
13,3,3700,7,0.0,2.75,3,NZ,Gelding,60,--,1071.0,125,4,9,10,7,,,,4.0,4.75,2.75,,,,13.44,21.78,22.78,,,,58.0,12.0,2.9,128,151
13,4,3770,6,0.0,2.25,3,IRE,Gelding,60,--,1046.0,121,9,5,5,6,,,,1.5,2.0,2.25,,,,13.04,21.74,23.15,,,,57.93,30.0,6.6,54,59
13,5,3490,2,0.0,0.5,3,NZ,Gelding,60,--,1056.0,124,3,8,6,2,,,,3.5,2.75,0.5,,,,13.36,21.54,22.75,,,,57.65,1.7,1.0,132,2
13,6,2385,11,0.0,6.5,3,NZ,Gelding,60,--,1036.0,124,11,6,7,11,,,,2.75,3.25,6.5,,,,13.24,21.74,23.62,,,,58.6,99.0,25.0,118,154
13,7,725,12,0.0,11.5,3,AUS,Gelding,60,--,1018.0,121,8,2,2,12,,,,0.25,0.15,11.5,,,,12.84,21.62,24.94,,,,59.4,15.0,3.6,164,34
13,8,4116,3,0.0,0.5,3,NZ,Gelding,60,--,1005.0,119,1,3,4,3,,,,0.75,1.5,0.5,,,,12.92,21.78,22.96,,,,57.66,7.7,1.7,55,38
13,9,395,8,0.0,4.25,3,NZ,Gelding,60,--,1112.0,118,10,10,11,8,,,,4.75,5.75,4.25,,,,13.56,21.82,22.86,,,,58.24,45.0,12.0,47,155
13,10,4246,10,0.0,6.25,3,IRE,Gelding,60,--,1089.0,117,2,7,8,10,,,,3.0,4.0,6.25,,,,13.28,21.82,23.43,,,,58.53,22.0,6.4,63,131
13,11,3678,9,0.0,4.25,3,AUS,Gelding,60,--,1029.0,120,7,12,12,9,,,,6.75,6.0,4.25,,,,13.88,21.54,22.84,,,,58.26,34.0,6.7,98,64
13,12,2645,5,0.0,2.25,3,,,60,--,1107.0,120,12,11,9,5,,,,4.75,4.0,2.25,,,,13.56,21.54,22.83,,,,57.93,28.0,9.3,109,145
14,1,1653,6,0.0,4.5,3,NZ,Gelding,60,--,1095.0,131,12,2,2,2,6.0,,,0.75,0.75,0.5,4.5,,,27.85,24.89,24.62,24.2,,,101.56,39.0,10.0,109,162
14,2,2975,9,0.0,5.5,3,NZ,Gelding,60,--,1129.0,130,4,12,12,12,9.0,,,10.0,8.25,8.0,5.5,,,29.33,24.61,24.62,23.15,,,101.71,14.0,3.2,97,138
14,3,2479,2,0.0,1.75,3,NZ,Brown,60,--,1071.0,129,11,4,4,4,2.0,,,2.0,2.25,2.0,1.75,,,28.05,24.93,24.62,23.52,,,101.12,16.0,3.4,98,64
14,4,2052,8,0.0,5.0,3,NZ,Gelding,60,--,1030.0,126,10,1,1,1,8.0,,,0.75,0.75,0.5,5.0,,,27.73,24.89,24.66,24.35,,,101.63,33.0,8.8,54,34
14,5,385,5,0.0,4.0,3,NZ,Gelding,60,--,1049.0,126,7,6,6,6,5.0,,,4.0,3.75,3.75,4.0,,,28.37,24.85,24.66,23.59,,,101.47,22.0,5.6,164,57
14,6,3302,11,0.0,6.25,3,AUS,Brown,60,--,1040.0,121,5,9,9,9,11.0,,,7.0,6.0,6.25,6.25,,,28.85,24.73,24.7,23.57,,,101.85,2.3,1.3,118,2
14,7,3734,12,0.0,6.75,3,AUS,Gelding,60,--,1127.0,120,3,11,11,11,12.0,,,8.5,7.5,7.75,6.75,,,29.09,24.73,24.7,23.38,,,101.9,5.8,2.1,29,18
14,8,3115,10,0.0,5.5,3,AUS,Gelding,60,--,1156.0,120,8,8,8,8,10.0,,,6.25,5.5,5.5,5.5,,,28.73,24.77,24.66,23.57,,,101.73,23.0,7.4,38,154
14,9,1785,7,0.0,4.5,3,AUS,Gelding,60,--,1077.0,117,2,5,5,5,7.0,,,3.25,3.0,3.25,4.5,,,28.25,24.85,24.7,23.77,,,101.57,7.3,1.8,75,131
14,10,3897,3,0.0,3.25,3,IRE,Gelding,60,--,1031.0,112,1,7,7,7,3.0,,,5.25,4.5,4.0,3.25,,,28.57,24.77,24.58,23.43,,,101.35,7.9,2.2,132,128
14,11,891,4,0.0,3.75,3,NZ,Gelding,60,--,1109.0,108,9,10,10,10,4.0,,,8.0,7.0,6.75,3.75,,,29.01,24.73,24.62,23.07,,,101.43,21.0,6.0,47,52
14,12,2192,1,1.0,0.0,3,NZ,Gelding,60,--,1079.0,112,6,3,3,3,1.0,,,1.5,1.5,1.75,1.75,,,27.97,24.89,24.7,23.27,,,100.83,26.0,9.1,128,151
15,1,1523,10,0.0,5.5,3,IRE,Gelding,60,--,1056.0,133,5,10,11,10,,,,5.25,9.25,5.5,,,,13.68,22.14,22.22,,,,58.04,12.0,4.1,138,18
15,2,4248,2,0.0,0.5,3,IRE,Gelding,60,--,1108.0,133,6,5,5,2,,,,2.5,4.0,0.5,,,,13.24,21.74,22.29,,,,57.27,24.0,8.0,7,115
